time,level,event,username,session_id,extra
2025-10-29 10:00:37,INFO,Открыта страница входа,-,-,-
2025-10-29 10:00:50,INFO,Успешный вход,danik,459a271d-8edb-4905-838a-6fa02215ab88,role=nan
2025-10-29 10:00:50,INFO,Открыта страница приветствия,danik,459a271d-8edb-4905-838a-6fa02215ab88,role=nan
2025-10-29 10:00:50,ERROR,Страница не найдена,danik,459a271d-8edb-4905-838a-6fa02215ab88,role=nan url=http://127.0.0.1:8000/welcome/30e6b5b1-7040-4cf3-95a7-9f995dc58573_info.png
2025-10-29 10:00:52,INFO,Открыта главная страница,danik,459a271d-8edb-4905-838a-6fa02215ab88,role=nan
2025-10-29 10:00:52,ERROR,Страница не найдена,danik,459a271d-8edb-4905-838a-6fa02215ab88,role=nan url=http://127.0.0.1:8000/static/assets/pic_background.png
2025-10-29 10:00:55,INFO,Выход из системы,danik,459a271d-8edb-4905-838a-6fa02215ab88,role=nan
2025-10-29 10:00:55,INFO,Открыта форма входа,-,-,-
2025-10-29 10:00:59,INFO,Открыта форма входа,-,-,-
2025-10-29 10:01:07,INFO,Успешный вход,admin1,6c9c5197-fbbf-4933-bd87-9edaf20675f6,role=admin
2025-10-29 10:01:07,INFO,Открыта форма регистрации,admin1,6c9c5197-fbbf-4933-bd87-9edaf20675f6,role=admin
2025-10-29 10:02:10,INFO,Регистрация нового пользователя,debil,-,role=user
2025-10-29 10:02:10,INFO,Открыта страница приветствия,debil,1f082e8c-22b8-4120-873b-687caef89fa5,role=user
2025-10-29 10:02:13,INFO,Открыта главная страница,debil,1f082e8c-22b8-4120-873b-687caef89fa5,role=user
2025-10-29 10:02:22,INFO,Выход из системы,debil,1f082e8c-22b8-4120-873b-687caef89fa5,role=user
2025-10-29 10:02:22,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:26,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:26,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:26,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:26,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:26,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:26,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:27,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:27,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:27,INFO,Открыта форма входа,-,-,-
2025-10-29 10:02:33,INFO,Успешный вход,danik,997349bd-332c-4c7b-8cd3-a29d1cda1c3e,role=nan
2025-10-29 10:02:33,ERROR,Доступ запрещён,-,-,role=- url=http://127.0.0.1:8000/login
2025-10-29 10:02:36,INFO,Открыта страница входа,-,-,-
2025-10-29 10:02:54,INFO,Успешный вход,danik,39ab012b-4318-421e-b1c9-891c13e47b58,role=nan
2025-10-29 10:02:54,INFO,Открыта страница приветствия,danik,39ab012b-4318-421e-b1c9-891c13e47b58,role=nan
2025-10-29 10:02:54,ERROR,Страница не найдена,danik,39ab012b-4318-421e-b1c9-891c13e47b58,role=nan url=http://127.0.0.1:8000/welcome/30e6b5b1-7040-4cf3-95a7-9f995dc58573_info.png
2025-10-29 10:02:56,INFO,Открыта главная страница,danik,39ab012b-4318-421e-b1c9-891c13e47b58,role=nan
2025-10-29 10:05:58,INFO,Выход из системы,danik,39ab012b-4318-421e-b1c9-891c13e47b58,role=nan
2025-10-29 10:05:58,INFO,Открыта форма входа,-,-,-
2025-10-29 10:11:56,INFO,Успешный вход,danik,d27786e1-7787-46c1-8435-1cbf05c79b7c,role=nan
2025-10-29 10:11:56,INFO,Открыта страница приветствия,danik,d27786e1-7787-46c1-8435-1cbf05c79b7c,role=nan
2025-10-29 10:11:56,ERROR,Страница не найдена,danik,d27786e1-7787-46c1-8435-1cbf05c79b7c,role=nan url=http://127.0.0.1:8000/welcome/30e6b5b1-7040-4cf3-95a7-9f995dc58573_info.png
2025-10-29 10:11:58,INFO,Открыта главная страница,danik,d27786e1-7787-46c1-8435-1cbf05c79b7c,role=nan
2025-10-29 10:11:58,ERROR,Страница не найдена,danik,d27786e1-7787-46c1-8435-1cbf05c79b7c,role=nan url=http://127.0.0.1:8000/static/assets/pic_background.png
2025-10-29 10:17:35,INFO,Выход из системы,danik,d27786e1-7787-46c1-8435-1cbf05c79b7c,role=nan
2025-10-29 10:17:35,INFO,Открыта форма входа,-,-,-
2025-10-30 12:11:45,INFO,Открыта страница входа,-,-,-
2025-10-30 12:11:45,WARNING,Попытка доступа без сессии,-,-,role=-
2025-10-30 12:11:45,INFO,Открыта форма входа,-,-,-
2025-10-30 13:05:54,INFO,Открыта страница входа,-,-,-
2025-10-30 13:05:54,WARNING,Попытка доступа без сессии,-,-,role=-
2025-10-30 13:05:54,INFO,Открыта форма входа,-,-,-
2025-10-30 14:43:24,INFO,Открыта страница входа,-,-,-
2025-10-30 14:43:24,WARNING,Попытка доступа без сессии,-,-,role=-
